ADBL,Agriculture Development Bank Limited,Commercial Banks
API,Api Power Company Ltd.,Hydro Power
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance
AKPL,Arun Kabeli Power Ltd.,Hydro Power
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing
ALICL,Asian Life Insurance Co. Limited,Insurance
BOKL,Bank of Kathmandu Ltd.,Commercial Banks
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
BFC,Best Finance Company Ltd.,Finance
BHBL,Bhargav Bikash Bank Ltd.,Development Bank
BSL,Birat Shoe Limited,Manufacturing And Processing
BBC,Bishal Bazar Company Limited,Tradings
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
BPCL,Butwal Power Company Limited,Hydro Power
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance
CFCL,Central Finance Co. Ltd.,Finance
CCBL,Century Commercial Bank Ltd.,Commercial Banks
CBBL,Chhimek Laghubitta Bikas Bank Limited,Microfinance
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
CHCL,Chilime Hydropower Company Limited,Hydro Power
CZBIL,Citizen Bank International Limited,Commercial Banks
CIT,Citizen Investment Trust,Others
CMF1,Citizens Mutual Fund -1,Mutual Fund
CEFL,City Express Finance Co. Limited,Finance
CBL,Civil Bank Ltd,Commercial Banks
CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,Microfinance
CORBL,Corporate Development Bank Limited,Development Bank
CFL,Crystal Finance Ltd.,Finance
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
DBBL,Deva Bikas Bank Limited,Development Bank
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
EBL,Everest Bank Limited,Commercial Banks
EBLCP,Everest Bank Limited Con. Pref.,Preferred Stock
EIC,Everest Insurance Co. Ltd.,Insurance
EDBL,Excel Development Bank Ltd.,Development Bank
FMDBL,First Micro Finance Development Bank Ltd.,Microfinance
FHL,Fleur Himalayan Limited,Manufacturing And Processing
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microfinance
GDBL,Gandaki Bikas Bank Limited,Development Bank
GBBL,Garima Bikas Bank Limited,Development Bank
GBIME,Global IME Bank Limited,Commercial Banks
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance
GIMES1,Global IME Samunnat Scheme-1,Mutual Fund
GFCL,Goodwill Finance Co. Ltd.,Finance
GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance
GRDBL,Green Development Bank Ltd.,Development Bank
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
GLICL,Gurans Life Insurance Company Ltd.,Insurance
GUFL,Gurkhas Finance Ltd.,Finance
HAMRO,Hamro Bikas Bank Ltd.,Development Bank
HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing
HATH,Hathway Finance Company Limited,Finance
HBL,Himalayan Bank Limited,Commercial Banks
HDL,Himalayan Distillery Limited,Manufacturing And Processing
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance
HGI,Himalayan General Insurance Co. Ltd,Insurance
HPPL,Himalayan Power Partner Ltd.,Hydro Power
ICFC,ICFC Finance Limited,Finance
IGI,IME General Insurance Ltd.,Insurance
HIDCL,Jalabidyut Lagani tatha Bikas Co. Ltd.,Others
JFL,Janaki Finance Ltd.,Finance
JBNL,Janata Bank Nepal Ltd.,Commercial Banks
JSLBB,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,Microfinance
JEFL,Jebils Finance Ltd.,Finance
JBBL,Jyoti Bikas Bank Limited,Development Bank
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing
KEBL,Kabeli Bikas Bank Limited,Development Bank
KBBL,Kailash Bikas Bank Ltd.,Development Bank
KMCDB,Kalika Microcredit Development Bank Ltd.,Microfinance
KADBL,Kanchan Development Bank Limited,Development Bank
KNBL,Kankai Bikas Bank Ltd.,Development Bank
KRBL,Karnali Development Bank Limited,Development Bank
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
KMFL,Kisan Microfinance Bittiya Sanstha Ltd.,Microfinance
KBL,Kumari Bank Limited,Commercial Banks
LFC,Lalitpur Finance Ltd.,Finance
LBL,Laxmi Bank Limited,Commercial Banks
LEMF,Laxmi Equity Fund,Mutual Fund
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance
LVF1,Laxmi Value Fund-1,Mutual Fund
LICN,Life Insurance Co. Nepal,Insurance
LBBL,Lumbini Bikas Bank Ltd.,Development Bank
LGIL,Lumbini General Insurance Co. Ltd.,Insurance
MBL,Machhapuchhre Bank Limited,Commercial Banks
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Bank
MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance
MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Microfinance
MFIL,Manjushree Finance Ltd.,Finance
MEGA,Mega  Bank Nepal Ltd.,Commercial Banks
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance
MMFDB,Mirmire Microfinance Development Bank Ltd.,Microfinance
MIDBL,Mission Development Bank Ltd.,Development Bank
MDB,Miteri Development Bank Limited,Development Bank
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance
MMDBL,Mount Makalu Development Bank Ltd.,Development Bank
MNBBL,Muktinath Bikas Bank Ltd.,Development Bank
MPFL,Multipurpose Finance Company  Limited,Finance
NABIL,Nabil Bank Limited,Commercial Banks
NEF,Nabil Equity Fund,Mutual Fund
NBBL,NagBeli LaghuBitta Bikas Bank Ltd.,Microfinance
NABBC,Narayani Development Bank Limited,Development Bank
NHPC,National Hydro Power Company Limited,Hydro Power
NLICL,National Life Insurance Co. Ltd.,Insurance
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microfinance
NNLB,Naya Nepal Laghubitta Bikas Bank Ltd.,Microfinance
NIL,Neco Insurance Co. Ltd.,Insurance
NBB,Nepal Bangladesh Bank Limited,Commercial Banks
NBL,Nepal Bank Limited,Commercial Banks
NBBU,Nepal Bitumin And Barrel Udhyog Limited,Manufacturing And Processing
NCDB,Nepal Community Development Bank Ltd.,Development Bank
NCCB,Nepal Credit And Commercial Bank Limited,Commercial Banks
NTC,Nepal Doorsanchar Comapany Limited,Others
NFD,Nepal Film Development Company Limited,Others
NFS,Nepal Finance Ltd.,Finance
NHDL,Nepal Hydro Developers Ltd.,Hydro Power
NICL,Nepal Insurance Co. Ltd.,Insurance
NIB,Nepal Investment Bank Limited,Commercial Banks
NKU,Nepal Khadya Udhyog Limited,Manufacturing And Processing
NLIC,Nepal Life Insurance Co. Ltd.,Insurance
NLO,Nepal Lube Oil Limited,Manufacturing And Processing
SBI,Nepal SBI Bank Limited,Commercial Banks
NSEWA,Nepal Seva Laghubitta Bittiya Sanstha Ltd.,Microfinance
NSM,Nepal Share Markets Ltd.,Finance
NTL,Nepal Tading Limited,Tradings
NVG,Nepal Vanaspati Ghee Udhyog Limited,Manufacturing And Processing
NWC,Nepal Welfare Company Limited,Tradings
NLBBL,Nerude Laghubita Bikas Bank Limited,Microfinance
NGPL,Ngadi Group Power Ltd.,Hydro Power
NIBLPF,NIBL Pragati Fund,Mutual Fund
NIBSF1,NIBL Samriddhi Fund 1,Mutual Fund
NICA,NIC Asia Bank Ltd.,Commercial Banks
NICGF,NIC Asia Growth Fund,Mutual Fund
NIDC,NIDC Development Bank Ltd.,Development Bank
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
NLG,NLG Insurance Company Ltd.,Insurance
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance
NMB,NMB Bank Limited,Commercial Banks
NMBHF1,NMB Hybrid Fund L-1,Mutual Fund
NMBSF1,NMB Sulav Investment Fund-1,Mutual Fund
OHL,Oriental Hotels Limited,Hotels
PFL,Pokhara Finance Ltd.,Finance
PRVU,Prabhu  Bank Limited,Commercial Banks
PRIN,Prabhu Insurance Ltd.,Insurance
PIC,Premier Insurance Co. Ltd.,Insurance
PCBL,Prime Commercial Bank Ltd.,Commercial Banks
PLIC,Prime Life Insurance Company Limited,Insurance
PROFL,ProgressiveFinance Limited,Finance
PICL,Prudential Insurance Co. Ltd.,Insurance
PURBL,Purnima Bikas Bank Ltd.,Development Bank
RADHI,Radhi Bidyut Company Ltd,Hydro Power
RJM,Raghupati Jute Mills Limited,Manufacturing And Processing
RRHP,Rairang Hydropower Development Company Ltd.,Hydro Power
RBCL,Rastriya Beema Company Limited,Insurance
RLFL,Reliance Finance Ltd.,Finance
RHPC,Ridi Hydropower Development Company Ltd.,Hydro Power
RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
SIC,Sagarmatha Insurance Co. Ltd.,Insurance
SHBL,Sahara Bikas Bank Ltd.,Development Bank
SBBLJ,Sahayogi Bikas Bank Limited,Development Bank
STC,Salt Trading Corporation,Tradings
SMATA,Samata Microfinance Bittiya Sanstha Ltd.,Microfinance
SFC,Samjhana Finance Co. Ltd.,Finance
SKBBL,Sana Kisan Bikas Bank Ltd,Microfinance
SANIMA,Sanima Bank Limited,Commercial Banks
SAEF,Sanima Equity Fund,Mutual Fund
SHPC,Sanima Mai Hydropower Ltd.,Hydro Power
SKDBL,Saptakoshi Development Bank Ltd.,Development Bank
SADBL,Shangrila Development Bank Ltd.,Development Bank
SICL,Shikhar Insurance Co. Ltd.,Insurance
SHINE,Shine Resunga Development Bank Ltd.,Development Bank
SBPP,Shree Bhrikuti Pulp And Paper Limited,Manufacturing And Processing
SIFC,Shree Investment Finance Co. Ltd.,Finance
SRS,Shree Ram Sugar Mills Limited,Manufacturing And Processing
SFFIL,Shrijana Finance  (Bittaya Sanstha),Finance
SBL,Siddhartha Bank Limited,Commercial Banks
SEF,Siddhartha Equity Fund,Mutual Fund
SEOS,Siddhartha Equity Orineted Scheme,Mutual Fund
SIL,Siddhartha Insurance Ltd.,Insurance
SHL,Soaltee Hotel Limited,Hotels
SCB,Standard Chartered Bank Limited,Commercial Banks
SMFDB,Summit Micro Finance Development Bank Ltd.,Microfinance
SRBL,Sunrise Bank Limited,Commercial Banks
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance
SLICL,Surya Life Insurance Company Limited,Insurance
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,Microfinance
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,Microfinance
SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,Microfinance
SYFL,Synergy Finance Ltd.,Finance
SPDL,Synergy Power Development Ltd.,Hydro Power
TRH,Taragaon Regency Hotel Limited,Hotels
TNBL,Tinau Development Bank Limited,Development Bank
UNL,Uniliver Nepal Limited,Manufacturing And Processing
UFL,United Finance Ltd.,Finance
UIC,United Insurance Co. (Nepal) Ltd.,Insurance
UMHL,United Modi Hydropower Ltd.,Hydro Power
UMB,Unnati Micorfinance Bittiya Sanstha Ltd.,Microfinance
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance
WOMI,Womi Microfinance Bittiya Sanstha Ltd.,Microfinance
WMBF,World Merchant Banking & Finance Ltd.,Finance
YHL,Yak And Yeti Hotel Limited,Hotels
